CompoundName,Toxicity
Sodium Lauryl Sulphate,1
Polyethylene glycol (PEG),1
Quaternium 15,1
Mercury,1
Methylene glycol,1
Lead Acetate,1
M-phenylenediamine,1
Diethylhexyl phthalates,1
Sodium Laureth Sulfate (SLES),1
Dibutyl phthalates,1
PFAS,1
Benzoyl Peroxide,1
Methylisothiazolinone,1
Boric Acid,1
Ethanolamine,1
Parabens,1
Propylparaben,1
Sodium Lauryl Sulfate,1
Benzalkonium chloride,1
Formaldehyde,1
Triclosan,1
Phthalates,1
Hydroquinone,1
Toluene,1
Arsenic,1
Cadmium,1
Benzene,1
Asbestos,1
Nonylphenol,1
Brominated flame retardants,1
Perfluorinated chemicals (PFCs),1
Acetone,1
Dioxins and furans,1
Vinyl chloride,1
Atrazine,1
Perchlorate,1
Dichlorobenzene,1
Dichloroethylene,1
Sodium C14-16 Olefin Sulfonate,0
Sodium Cocoyl Isethionate,0
Sodium Palmitate,0
CI 12490,0
Sandalwood Extract,0
Water (aqua),0
CI 12490,0
CI 12490,0
Limonene,0
Sodium chloride,0
Climbazole,0
Sodium Benzoate,0
Titanium Dioxide,0
Propylene Glycol,0
Octyl methoxycinnamate,0
Cocamidopropyl betaine,0
Cetearyl Alcohol,0
Glycerin,0
Butylated hydroxytoluene (BHT),0
Sodium Hydroxide,0
Retinol,0
Benzyl Alcohol,0
Caprylic/Capric Triglyceride,0
Lanolin,0
Tocopherol,0
Ethylhexyl methoxycinnamate,0
Isopropyl Alcohol,0
Magnesium Stearate,0
PEG-40 Hydrogenated Castor Oil,0
Petrolatum,0
Sodium Benzoate,0
Sodium Lauroyl Sarcosinate,0
Sodium Laureth Sulfate,0
Sorbitol,0
Stearic Acid,0
Talc,0
Tea Tree Oil,0
Tetrasodium EDTA,0
Tocopheryl Acetate,0